 veh,    class, f_dsc, p_rated, n_rated,  n_idle,  n_max1, #g, m_test,   m_ro,   n_lim,      f0,      f1,      f2,    SM
  36, class 3b, 0.000,    85.0, 3500.00,  800.00,    0.00,  6, 2516.0,    0.0,    0.00,  210.00, 0.50000, 0.06000, 0.100
  37, class 3b, 0.000,    35.0, 6200.00,  900.00,    0.00,  5,  911.0,    0.0,    0.00,  140.00, 0.00000, 0.02800, 0.100
  38, class 3b, 0.000,    43.0, 2000.00,  800.00,    0.00,  5,  987.0,    0.0,    0.00,   72.00, 0.14000, 0.03517, 0.100
  39, class 3b, 0.000,    90.0, 4000.00,  800.00,    0.00,  9, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
  40, class 3b, 0.000,    60.5, 6000.00,  700.00,    0.00,  5, 1043.0,    0.0,    0.00,   98.88, 0.00000, 0.03650, 0.100
  41,  class 1, 0.000,    10.0, 5000.00,  700.00,    0.00,  4,  887.0,    0.0,    0.00,  170.00, 0.00000, 0.04000, 0.100
  42, class 3b, 0.000,   110.0, 4000.00,  800.00,    0.00,  6, 1700.0,    0.0,    0.00,  200.00, 0.35000, 0.03200, 0.100
  43, class 3a, 0.205,    95.3, 3500.00,  750.00,    0.00,  6, 2827.0,    0.0,    0.00,  395.78, 0.00000, 0.15000, 0.100
  44, class 3a, 0.205,    95.3, 3500.00,  750.00,    0.00,  5, 2827.0,    0.0,    0.00,  395.78, 0.00000, 0.15000, 0.100
  45, class 3b, 0.000,    90.0, 4000.00,  800.00,    0.00,  7, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
  46, class 3b, 0.000,    80.0, 3500.00,  850.00,    0.00,  6, 2160.0,    0.0,    0.00,  146.00, 0.00000, 0.06030, 0.100
  47, class 3b, 0.000,    80.0, 2000.00,  850.00,    0.00,  6, 2160.0,    0.0,    0.00,  146.00, 0.00000, 0.06030, 0.100
  48, class 3b, 0.000,   228.0, 5800.00,  700.00,    0.00,  6, 1950.0,    0.0,    0.00,  111.00, 0.60000, 0.02640, 0.100
  49, class 3b, 0.000,    90.0, 4000.00,  800.00,    0.00,  4, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
  50, class 3b, 0.000,   200.0, 4400.00,  700.00,    0.00,  6, 1930.0,    0.0,    0.00,   41.00, 0.51500, 0.03240, 0.100
  51,  class 2, 0.036,    40.0, 4000.00,  800.00,    0.00,  7, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
  52, class 3b, 0.000,    79.2, 3490.00,  840.00,    0.00,  6, 2158.0,    0.0,    0.00,  146.15, 0.00000, 0.06030, 0.100
  53, class 3b, 0.000,    79.2, 2040.00,  840.00,    0.00,  6, 2158.0,    0.0,    0.00,  146.15, 0.00000, 0.06030, 0.100
  54, class 3b, 0.000,    96.2, 4000.00,  850.00,    0.00,  6, 1700.0,    0.0,    0.00,   77.68, 0.67100, 0.03460, 0.100
  55, class 3b, 0.000,    66.7, 4000.00,  800.00,    0.00,  5, 1250.0,    0.0,    0.00,   85.89, 0.53300, 0.03580, 0.100
  56, class 3b, 0.012,    99.7, 3500.00,  780.00,    0.00,  6, 2734.0,    0.0,    0.00,  293.30, 0.00000, 0.09172, 0.100
  57,  class 2, 0.036,    40.0, 4000.00,  800.00,    0.00,  7, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
  58, class 3b, 0.016,   107.0, 3500.00,  800.00,    0.00,  6, 2490.0,    0.0,    0.00,  380.10, 0.00000, 0.11321, 0.100
  59, class 3b, 0.025,   107.0, 3500.00,  800.00,    0.00,  6, 2490.0,    0.0,    0.00,  324.30, 0.00000, 0.12197, 0.100
  60, class 3b, 0.000,   130.1, 3500.00,  850.00,    0.00,  6, 2494.0,    0.0,    0.00,  199.78, 0.86660, 0.03710, 0.100
  61, class 3b, 0.000,    66.0, 4000.00,  800.00,    0.00,  5, 1394.0,    0.0,    0.00,  111.78, 0.70275, 0.02972, 0.100
  62, class 3b, 0.000,    92.0, 5250.00,  750.00,    0.00,  6, 1589.0,    0.0,    0.00,  139.71, 0.67300, 0.04650, 0.100
  63, class 3b, 0.000,    92.0, 3500.00,  850.00,    0.00,  6, 2370.0,    0.0,    0.00,  197.00, 1.78400, 0.04980, 0.100
  64, class 3b, 0.000,    80.1, 4000.00,  850.00,    0.00,  6, 1443.0,    0.0,    0.00,   84.00, 0.53480, 0.03522, 0.100
  65, class 3b, 0.000,    80.1, 4000.00,  850.00,    0.00,  6, 1443.0,    0.0,    0.00,   84.00, 0.53480, 0.03522, 0.100
  66, class 3b, 0.091,    63.0, 3500.00,  800.00,    0.00,  5, 2200.0,    0.0,    0.00,  170.00, 0.50000, 0.05700, 0.100
  67, class 3b, 0.000,   377.0, 6300.00,  800.00,    0.00,  6, 1700.0,    0.0,    0.00,  180.00, 0.50000, 0.02500, 0.100
  68, class 3b, 0.000,   309.0, 7800.00,  850.00,    0.00,  6, 1950.0,    0.0,    0.00,  200.00, 0.50000, 0.02700, 0.100
  69, class 3b, 0.000,   235.0, 6800.00,  700.00,    0.00,  6, 1600.0,    0.0,    0.00,  190.00, 0.50000, 0.02500, 0.100
  70, class 3b, 0.000,   184.0, 6300.00,  640.00,    0.00,  6, 1730.0,    0.0,    0.00,  170.00, 0.50000, 0.02800, 0.100
  71, class 3b, 0.000,   162.0, 6400.00,  700.00,    0.00,  5, 2450.0,    0.0,    0.00,  230.00, 0.50000, 0.05000, 0.100
  72, class 3b, 0.000,    73.0, 6000.00,  750.00,    0.00,  5, 1300.0,    0.0,    0.00,  160.00, 0.20000, 0.03300, 0.100
  73, class 3b, 0.000,   162.0, 8000.00,  750.00,    0.00,  6, 1330.0,    0.0,    0.00,  180.00, 0.20000, 0.02900, 0.100
  74, class 3b, 0.000,    40.0, 6500.00,  800.00,    0.00,  5,  820.0,    0.0,    0.00,  160.00, 0.20000, 0.03300, 0.100
  75, class 3a, 0.191,    31.0, 5500.00, 1000.00,    0.00,  5,  983.0,    0.0,    0.00,  160.00, 0.20000, 0.04000, 0.100
  76, class 3b, 0.098,    37.0, 6000.00,  900.00,    0.00,  5, 1063.0,    0.0,    0.00,  160.00, 0.20000, 0.04000, 0.100
  77, class 3b, 0.016,    69.0, 4000.00,  800.00,    0.00,  5, 2310.0,    0.0,    0.00,  210.00, 0.20000, 0.04500, 0.100
  78,  class 1, 0.000,    18.4, 4000.00, 1000.00,    0.00,  4, 1242.0,    0.0,    0.00,  180.00, 0.20000, 0.04000, 0.100
  79,  class 1, 0.225,     6.8, 3600.00, 1000.00,    0.00,  4,  887.0,    0.0,    0.00,  170.00, 0.00000, 0.04000, 0.100
  80,  class 2, 0.000,    46.3, 3200.00,  900.00,    0.00,  5, 1833.0,    0.0,    0.00,  160.00, 0.00000, 0.02800, 0.100
  81,  class 2, 0.036,    46.3, 3200.00,  900.00,    0.00,  5, 2066.0,    0.0,    0.00,  180.00, 0.00000, 0.03800, 0.100
  82, class 3b, 0.010,    70.0, 3800.00,  800.00,    0.00,  6, 2278.0,    0.0,    0.00,  230.00, 0.00000, 0.04700, 0.100
  83, class 3b, 0.000,    51.5, 6000.00,  850.00,    0.00,  5, 1170.0,    0.0,    0.00,  150.00, 0.00000, 0.02900, 0.100
  84, class 3b, 0.000,   110.0, 8000.00,  800.00,    0.00,  6, 1540.0,    0.0,    0.00,  180.00, 0.00000, 0.02600, 0.100
  85, class 3b, 0.000,    55.0, 4200.00,  800.00,    0.00,  6, 1354.0,    0.0,    0.00,  170.00, 0.00000, 0.03500, 0.100
  86, class 3b, 0.000,   126.0, 3800.00,  750.00,    0.00,  5, 2242.0,    0.0,    0.00,  220.00, 0.00000, 0.04300, 0.100
  87,  class 2, 0.098,    46.3, 3200.00,  850.00,    0.00,  5, 2066.0,    0.0,    0.00,  250.00, 0.00000, 0.04500, 0.100
  88,  class 2, 0.118,    45.0, 3600.00,  800.00,    0.00,  5, 2076.0,    0.0,    0.00,  250.00, 0.00000, 0.04500, 0.100
  89, class 3b, 0.000,    65.0, 3700.00,  800.00,    0.00,  5, 1654.0,    0.0,    0.00,  220.00, 0.00000, 0.04500, 0.100
  90, class 3b, 0.000,   100.0, 3500.00,  830.00,    0.00,  6, 2109.0,    0.0,    0.00,  295.26, 0.00000, 0.09930, 0.100
  91, class 3b, 0.086,   100.0, 3500.00,  830.00,    0.00,  6, 3032.0,    0.0,    0.00,  424.48, 0.00000, 0.10180, 0.100
  92, class 3b, 0.000,   100.0, 4800.00,  700.00,    0.00,  6, 1563.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
  93, class 3b, 0.000,   100.0, 4400.00,  700.00,    0.00,  6, 1563.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
  94, class 3b, 0.000,   120.0, 2900.00,  700.00,    0.00,  6, 1976.0,    0.0,    0.00,  122.20, 0.86290, 0.03190, 0.100
  95, class 3b, 0.000,    90.0, 5000.00,  700.00,    0.00,  6, 1612.0,    0.0,    0.00,  115.00, 0.37000, 0.03100, 0.100
  96, class 3b, 0.000,   147.0, 5100.00,  800.00,    0.00,  6, 1550.0,    0.0,    0.00,  206.85, 0.00780, 0.03660, 0.100
  97,  class 2, 0.000,    68.0, 4910.00,  850.00,    0.00,  5, 2365.0,    0.0,    0.00,  121.00, 0.80000, 0.05700, 0.100
  98, class 3b, 0.000,   125.0, 4160.00,  680.00,    0.00,  6, 1800.0,    0.0,    0.00,  121.00, 0.80000, 0.02620, 0.100
  99, class 3b, 0.176,   110.0, 2800.00,  600.00,    0.00,  6, 3200.0,    0.0,    0.00,  600.00, 0.00000, 0.15000, 0.100
 100, class 3a, 0.176,   110.0, 2800.00,  600.00,    0.00,  6, 3200.0,    0.0,    0.00,  600.00, 0.00000, 0.15000, 0.100
 101, class 3a, 0.176,   110.0, 2800.00,  600.00,    0.00,  6, 3200.0,    0.0,    0.00,  600.00, 0.00000, 0.15000, 0.100
 102, class 3b, 0.000,    85.1, 5200.00,  650.00,    0.00,  6, 1506.0,    0.0,    0.00,  145.20, 0.97840, 0.02887, 0.100
 103, class 3b, 0.000,    90.0, 4000.00,  800.00,    0.00,  6, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
 104, class 3b, 0.000,    80.0, 2000.00,  850.00,    0.00,  5, 2160.0,    0.0,    0.00,  146.00, 0.00000, 0.06030, 0.100
 105, class 3b, 0.000,    90.0, 4000.00,  800.00,    0.00,  3, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
 106,  class 2, 0.036,    40.0, 4000.00,  800.00,    0.00,  6, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
 107, class 3b, 0.000,    79.2, 2040.00,  840.00,    0.00,  5, 2158.0,    0.0,    0.00,  146.15, 0.00000, 0.06030, 0.100
 108,  class 2, 0.036,    40.0, 4000.00,  800.00,    0.00,  6, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
 109, class 3b, 0.000,   130.1, 3500.00,  850.00,    0.00,  5, 2494.0,    0.0,    0.00,  199.78, 0.86660, 0.03710, 0.100
 110, class 3b, 0.000,    85.0, 3500.00,  800.00,    0.00,  5, 2516.0,    0.0,    0.00,  210.00, 0.50000, 0.06000, 0.100
 111, class 3b, 0.000,   120.0, 2900.00,  700.00,    0.00,  5, 1976.0,    0.0,    0.00,  122.20, 0.86290, 0.03190, 0.100
 112, class 3b, 0.176,   110.0, 2800.00,  600.00,    0.00,  5, 3200.0,    0.0,    0.00,  600.00, 0.00000, 0.15000, 0.100
 113, class 3a, 0.176,   110.0, 2800.00,  600.00,    0.00,  5, 3200.0,    0.0,    0.00,  600.00, 0.00000, 0.15000, 0.100
 114, class 3a, 0.176,   110.0, 2800.00,  600.00,    0.00,  5, 3200.0,    0.0,    0.00,  600.00, 0.00000, 0.15000, 0.100
 115,  class 2, 0.000,    60.0, 5000.00,  700.00,    0.00,  6, 2500.0,    0.0,    0.00,  210.00, 0.00000, 0.04500, 0.100
 116, class 3a, 0.175,   130.0, 3500.00,  800.00,    0.00,  6, 4950.0,    0.0,    0.00,  415.00, 0.00000, 0.15250, 0.100
